listing_id,id,date,reviewer_id,reviewer_name,comments
1497879,21943405,2014-10-27,19785528,Jose Edwin,El apartamento está perfecto. Es tranquilo y está muy cerca de la ciudad y el aeropuerto. Recomendable.
1497879,22093757,2014-10-29,22488375,Kayla,"Sara was beyond nice and very helpful with allowing us to drop off our bags the morning before checkin with a small fee. Her place was clean and very comfortable, perfect for being able to fly out very seems least the next morning. Thank you so much again for our last minute request, the neighborhood was very safe and close to the T. I would definitely recommend anyone to stay here! "
